"Title ID","Region","Name","PKG direct link","zRIF","Content ID","Last Modification Date","Original Name","File Size","SHA256","Required FW","App Version"
"PCSE00491","US","Minecraft: PlayStation Vita Edition","http://ares.dl.playstation.net/cdn/UP4433/PCSE00491_00/uIgiwZciOGwMEffpjDebxvpBmbBAwYUSGaUDcyUThuccIOQPhNhfIyFWDrUTSBhG.pkg","KO5ifR1dQ+eHBpiYGBtDTTWxNATZ7+vp5+oc5OgWEuYJdgQ+/6UKywpYyTe7Tvj1M4ZlQzzbII8O5pGeHgG+dhKI","UP4433-PCSE00491_00-MINECRAFTVIT0000","2017-09-26 00:00:00","","164224000","dd1cb2205a85cf2635857b0e94b27adbfba11eb2881b99a85d67a884a53b22b6","3.15","1"
"PCSE00576","US","Minutes","http://zeus.dl.playstation.net/cdn/UP4477/PCSE00576_00/UP4477-PCSE00576_00-MINUTESUS0000001_bg_1_63c636f60c2f5f03db2d83ab2f806e39f71f006d.pkg","KO5ifR1dQ+eHBpiYmJtDTTU1NwPZ7+vpFxriGhwaDLUTn/94TLVLpj7eKOq05Oq5qeEmJqMxPrgBAI+RE6AA","UP4477-PCSE00576_00-MINUTESUS0000001","2017-09-26 00:00:00","","181390448","f12b503aea9fc6d7f45cb4413b3ebe585453d66bc975d732e829450128bdb3e4","3.35","1"
"PCSE01378","US","Mixups by POWGI (3.61+!) [3.69]","http://zeus.dl.playstation.net/cdn/UP3743/PCSE01378_00/UP3743-PCSE01378_00-MIXUPSBYPOWGIPSV_bg_1_93ef58298fc66e93c1ad139897d27bed3be34b80.pkg","KO5ifR1dQ+eHBhibmxhDTDU0NrcA2e/rGREaEOwUGeAf7u4ZEByG138zD7/+4OW4p7NEPn/3ml2TR2N8cAMAXqwWcAAA","UP3743-PCSE01378_00-MIXUPSBYPOWGIPSV","2019-02-16 03:20:38","","155684688","55fe3d6eab1ba2404347e5b04843a1fcd64fcb1009c2e4d19c38feb0b50a0caa","3.69","1"
"PCSA00002","US","MLB 12 The Show","http://zeus.dl.playstation.net/cdn/UP9000/PCSA00002_00/PiJFAkuhhLfLCvKZzvVbiHylORViNBrWOWQMzQMVgtYJKHTGPMhIuuoPCQDAJfoVVLPlpOROwheUUrfCAJIImfcQVXwqaolIXBTYt.pkg","KO5ifR1dQ+eHBlgi6TIwAtnv6+NkaBTi4Rrs4R8e5hniiM9/Icc1Fv9jP54XopBzze3F/sujMT64AQDLrBWQ","UP9000-PCSA00002_00-MLB12THESHOWVITA","2018-03-29 03:41:54","","2938047056","4c8c3e216b5a0dc1254f8c19e0546d0fa3a528ce9d10be12ac0708b41c34318d","1.52","1"
"PCSA00065","US","MLB 13 The Show","http://zeus.dl.playstation.net/cdn/UP9000/PCSA00065_00/ckqfjFayVQgIUHTDXMvKBDvPdhtJRfPkFFRKxHKpAasMDtUkCMcJyoRFolguQToxUULfAzdGstqESvVcyiQoSMfopFKsLScabuWri.pkg","KO5ifR1dQ+eHBlgi6TIzBdnv6+NkaBzi4Rrs4R8e5hniiM9/PzVSHtpXCU5/fzmhycBlj8RojA9uAABwDxS3","UP9000-PCSA00065_00-MLB13THESHOWVITA","2020-06-12 21:39:18","MLB 13 The Show","3369882128","","2.01","1"
"PCSA00511","US","MLB 15 The Show","http://zeus.dl.playstation.net/cdn/UP9000/PCSA00511_00/UP9000-PCSA00511_00-MLB15THESHOWVITA_bg_1_032a4772548e554251f306e78738b16bbef5e8f3.pkg","KO5ifR1dQ+eHBlgidJkaGoLs9/VxMjQN8XAN9vAPD/MMccTnvwW3I46v99VUb10rs1710ZN9ozE+uAEAzcYVjgAA","UP9000-PCSA00511_00-MLB15THESHOWVITA","2018-02-12 19:23:01","","3334002336","7dc9566773f32efe813aa0e0cb42ce74c65d1fed40f66e777ae9647ea1e57483","3.36","1"
"PCSE00654","US","MLB.TV Premium","http://zeus.dl.playstation.net/cdn/UP0181/PCSE00654_00/UP0181-PCSE00654_00-MLBTVPSVSTREAM15_bg_1_1f59e8ad363fe922132def480be393848e8bfe60.pkg","KO5ifR1dg/J5YfzQAANDC5ipZqYmIPt9fZxCwgKCw4JDglwdfQ1N8flP5yuDwrnZ076uSN0Z5Zjys3A0xgc3AADoxhWX","UP0181-PCSE00654_00-MLBTVPSVSTREAM15","2017-10-20 05:23:34","","15213856","00d3e0b65f5ac7bcbbf8af9b0cdbe4367a76cbb533d744d45097d48f217635e3","3.36","1"
"PCSE00915","US","Mobile Suit Gundam: Extreme VS-Force","http://zeus.dl.playstation.net/cdn/UP0700/PCSE00915_00/UP0700-PCSE00915_00-VSTA000000000000_bg_1_a293f00c96ef5a5c5b797b6b41aa6f126d48ffef.pkg","KO5ifR1dQ+eHBoBcAjXV0tAUZH9YcIijARLA578gKdd2hXXPjgSwHV3cq8/8ZDTGBzcAAGurEwQA","UP0700-PCSE00915_00-VSTA000000000000","2018-04-06 17:15:51","","1496710272","0d9decc3a50303d4f2f13fc9331a4cef35e0ea370a72c2799eb43197e82359a2","3.6","1"
"PCSE01414","US","Mochi Mochi Boy","http://zeus.dl.playstation.net/cdn/UP0891/PCSE01414_00/UP0891-PCSE01414_00-RAGMOCHIMOCHIBOY_bg_1_e3ef8a109f2476103f274d7b0436d8cb86dbc8e9.pkg","KO5ifR1dQ+eHBhhYWEJNNTQxNAHZH+To7uvv7OEJJpz8I/H5j8vlh/wFjQm2RlW5Mav0T80ZjfHBDQA4oRP9","UP0891-PCSE01414_00-RAGMOCHIMOCHIBOY","2019-07-20 02:19:52","Mochi Mochi Boy","105869424","","3.69","1"
"PCSA00001","US","ModNation Racers: Road Trip","http://zeus.dl.playstation.net/cdn/UP9000/PCSA00001_00/eMylfKGUWSacpFJvIunKkOGpgWquRbkHqLWcmOYGwNNkBwOUOnybfIUNNKgsnWliuAEopLbxEHCtkNgAvbstqnMOdxlvvQTFbOKnC.pkg","KO5ifR1dQ+eHBlgi6TIwBNnv6xcUZoAE8Pmvr7x+GZfOUenqhdMW+V+78HQ0xgc3AACVEBRW","UP9000-PCSA00001_00-MNRV000000000000","2017-09-26 00:00:00","","1566749952","4a112e77cde59c3b484951613b6cc5505227b59c5f98500feb6285f3209309c5","1.05","1"
